path,ex0,ey0,ex1,ey1,ex2,ey2,ex3,ey3,ex4,ey4,ex5,ey5,lane
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293179_001072.jpg,1.716,0.230,3.112,0.664,3.776,0.925,4.401,1.236,5.490,1.949,6.035,2.405,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293179_001073.jpg,1.100,0.126,1.802,0.234,2.469,0.439,3.839,0.941,4.473,1.286,5.923,2.370,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293179_001074.jpg,0.902,0.090,1.605,0.188,2.275,0.383,3.652,0.866,4.291,1.201,5.757,2.265,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293179_001077.jpg,0.848,0.059,1.954,0.313,2.637,0.527,4.085,1.196,4.699,1.560,5.689,2.341,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293179_001079.jpg,0.577,0.005,1.259,0.150,2.667,0.531,3.329,0.819,4.869,1.773,5.042,1.862,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293179_001080.jpg,1.516,0.184,2.208,0.359,2.867,0.588,4.038,1.157,4.637,1.540,5.635,2.319,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293180_001081.jpg,1.123,0.083,1.820,0.244,3.315,0.799,3.956,1.115,5.002,1.818,5.828,2.541,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293180_001082.jpg,0.656,0.008,2.085,0.306,2.762,0.555,4.355,1.417,4.533,1.496,5.514,2.248,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293180_001083.jpg,0.744,0.024,1.851,0.250,2.827,0.584,3.997,1.140,4.584,1.544,6.078,2.832,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293180_001084.jpg,0.529,-0.019,1.641,0.184,2.623,0.498,3.804,1.030,4.399,1.421,5.920,2.679,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293180_001085.jpg,1.453,0.107,2.144,0.314,3.787,1.076,3.970,1.144,4.995,1.834,5.526,2.285,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293180_001086.jpg,1.236,0.073,2.229,0.349,3.430,0.836,4.040,1.204,5.607,2.402,6.119,2.902,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293180_001087.jpg,1.039,0.040,2.036,0.303,3.243,0.774,3.857,1.134,5.440,2.313,5.958,2.807,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293180_001088.jpg,0.599,-0.054,1.284,0.081,2.523,0.479,3.170,0.774,4.268,1.406,4.818,1.834,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293181_001094.jpg,1.345,0.193,2.015,0.431,3.164,0.966,3.749,1.346,4.893,2.250,5.925,3.451,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293181_001095.jpg,1.885,0.442,2.076,0.482,3.193,1.013,3.785,1.380,4.669,2.042,5.418,2.792,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293181_001096.jpg,1.697,0.383,1.889,0.419,3.015,0.930,3.613,1.286,4.510,1.931,5.273,2.667,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293181_001099.jpg,0.175,0.017,1.931,0.451,2.068,0.562,3.835,1.469,4.399,1.875,4.909,2.366,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293182_001100.jpg,1.749,0.369,1.889,0.477,3.678,1.340,4.253,1.732,4.774,2.211,5.881,3.425,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293182_001101.jpg,1.289,0.201,2.315,0.590,2.949,0.877,3.218,1.101,4.411,1.875,5.587,3.034,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293182_001102.jpg,1.103,0.134,2.139,0.497,2.780,0.768,3.055,0.985,4.267,1.728,5.472,2.857,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293182_001103.jpg,0.798,0.062,2.659,0.718,3.300,1.036,3.905,1.381,5.111,2.438,5.624,2.966,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293182_001104.jpg,1.276,0.149,1.931,0.388,3.249,1.014,4.523,1.954,4.419,1.834,4.915,2.315,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293182_001105.jpg,0.109,-0.083,1.316,0.186,1.975,0.412,2.984,0.859,3.882,1.424,4.451,1.901,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293182_001106.jpg,1.126,0.134,1.788,0.347,2.807,0.775,3.715,1.322,4.293,1.788,5.524,2.865,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293182_001107.jpg,1.894,0.411,2.559,0.675,3.190,0.969,4.479,1.924,5.033,2.408,5.553,2.923,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293182_001108.jpg,0.315,-0.002,2.232,0.522,2.867,0.803,3.467,1.179,4.776,2.173,5.307,2.676,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293182_001109.jpg,0.141,-0.031,2.066,0.460,2.706,0.729,3.313,1.095,4.639,2.066,5.178,2.560,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293183_001110.jpg,1.862,0.388,2.508,0.644,3.122,0.997,4.468,1.939,5.018,2.422,5.503,2.969,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293184_001119.jpg,0.762,0.183,1.422,0.441,2.893,1.172,3.509,1.568,4.070,2.037,5.066,2.987,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293184_001120.jpg,0.706,0.198,2.175,0.845,2.822,1.194,3.442,1.581,4.010,2.043,4.524,2.579,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293184_001123.jpg,0.643,0.258,2.165,0.878,2.808,1.226,3.402,1.652,4.466,2.526,5.170,3.254,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293184_001124.jpg,1.431,0.584,2.104,0.880,2.754,1.216,3.356,1.631,3.912,2.124,4.985,3.078,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293184_001125.jpg,1.546,0.648,2.185,0.909,2.819,1.272,3.406,1.714,4.521,2.608,5.229,3.348,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293184_001127.jpg,1.407,0.615,2.077,0.910,2.704,1.286,3.836,2.070,4.597,2.739,5.179,3.297,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293184_001128.jpg,0.590,0.415,2.127,0.957,3.496,1.842,4.091,2.287,4.686,2.834,5.261,3.422,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293185_001129.jpg,1.578,0.716,2.779,1.371,3.564,1.905,4.187,2.398,4.591,2.773,5.381,3.512,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293185_001130.jpg,1.379,0.655,2.594,1.283,3.390,1.801,4.024,2.280,4.435,2.647,5.240,3.369,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293185_001131.jpg,0.759,0.465,1.450,0.703,2.106,1.026,2.727,1.434,3.927,2.224,5.003,3.152,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293185_001132.jpg,0.562,0.404,1.260,0.622,1.925,0.927,2.557,1.316,3.779,2.071,4.881,2.968,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293185_001136.jpg,0.818,0.447,1.500,0.723,2.807,1.301,3.681,1.834,4.176,2.188,5.127,2.788,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293185_001137.jpg,0.632,0.369,1.323,0.620,2.650,1.150,3.543,1.651,4.051,1.986,5.022,2.551,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293185_001138.jpg,1.250,0.535,2.142,0.860,2.868,1.184,3.351,1.449,4.298,1.971,5.385,2.613,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293186_001139.jpg,0.739,0.342,1.441,0.587,2.796,1.062,4.065,1.700,4.293,1.843,5.109,2.244,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293186_001140.jpg,1.575,0.525,2.285,0.743,3.030,1.058,3.769,1.417,4.355,1.699,5.186,2.070,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293186_001141.jpg,0.664,0.273,2.053,0.609,3.008,0.977,3.558,1.236,4.601,1.657,5.241,1.925,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293186_001142.jpg,1.434,0.392,2.403,0.686,3.164,0.954,4.284,1.439,4.571,1.562,5.467,1.882,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293186_001143.jpg,0.738,0.266,2.143,0.566,3.482,1.040,3.726,1.153,4.586,1.448,5.492,1.744,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293186_001144.jpg,1.511,0.342,2.493,0.630,3.063,0.844,4.136,1.177,4.797,1.390,5.709,1.664,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293186_001145.jpg,0.943,0.202,1.721,0.363,2.251,0.518,3.287,0.825,4.487,1.220,5.407,1.470,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293186_001146.jpg,1.593,0.305,2.965,0.672,3.218,0.766,4.098,0.992,5.024,1.216,5.945,1.349,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293187_001151.jpg,1.166,0.050,1.764,0.162,2.879,0.305,3.567,0.401,4.512,0.513,5.309,0.528,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293187_001152.jpg,0.832,-0.017,1.645,0.103,2.289,0.195,3.193,0.297,4.141,0.391,5.070,0.394,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293187_001153.jpg,0.710,-0.043,1.785,0.066,3.037,0.232,3.987,0.308,4.331,0.296,4.622,0.334,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293187_001154.jpg,1.453,0.021,1.718,0.069,2.624,0.141,3.575,0.203,4.505,0.175,5.480,0.137,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293187_001155.jpg,0.698,-0.087,1.910,0.056,2.221,0.090,3.171,0.140,3.431,0.225,5.076,0.050,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293187_001156.jpg,0.845,-0.060,1.493,-0.007,2.401,0.042,3.354,0.079,4.281,0.027,4.575,0.054,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293187_001157.jpg,0.576,-0.085,1.699,-0.044,2.393,-0.011,3.345,0.014,4.140,-0.044,5.234,-0.169,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293188_001158.jpg,1.299,-0.067,1.611,-0.045,2.562,-0.033,2.826,0.042,4.462,-0.199,4.699,-0.212,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293188_001159.jpg,1.262,-0.127,1.956,-0.114,2.909,-0.116,3.702,-0.196,4.792,-0.353,5.058,-0.426,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293188_001160.jpg,0.660,-0.145,1.569,-0.145,2.522,-0.160,3.445,-0.261,3.740,-0.251,4.681,-0.453,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293188_001161.jpg,0.272,-0.149,1.180,-0.157,2.133,-0.179,3.058,-0.289,4.025,-0.412,4.964,-0.623,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293188_001162.jpg,0.959,-0.171,1.911,-0.199,2.835,-0.313,3.802,-0.442,4.739,-0.658,5.004,-0.738,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293188_001163.jpg,0.232,0.248,0.397,1.156,0.663,2.078,0.699,2.496,1.339,3.920,1.505,4.293,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293188_001164.jpg,0.326,-0.186,1.277,-0.227,1.544,-0.167,3.165,-0.498,3.400,-0.524,4.857,-0.926,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293188_001165.jpg,0.686,-0.252,1.637,-0.299,2.425,-0.417,3.506,-0.625,3.769,-0.711,4.687,-0.990,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293188_001166.jpg,0.624,1.012,0.711,1.275,0.996,2.191,1.070,2.506,1.838,3.972,2.054,4.326,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293189_001167.jpg,0.680,0.892,0.970,1.806,1.346,2.688,1.465,2.987,1.928,3.839,2.475,4.656,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293189_001168.jpg,0.710,0.680,1.007,1.592,1.388,2.472,1.509,2.771,1.978,3.619,2.530,4.433,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293189_001169.jpg,0.818,-0.370,1.603,-0.508,2.678,-0.744,2.939,-0.837,3.849,-1.139,4.163,-1.219,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293189_001170.jpg,0.300,-0.262,1.907,-0.658,2.141,-0.693,3.581,-1.153,3.983,-1.370,4.364,-1.511,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293189_001171.jpg,1.700,-0.679,1.933,-0.716,3.370,-1.185,3.771,-1.405,4.152,-1.548,4.921,-1.974,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293189_001172.jpg,0.887,-0.000,1.208,0.904,1.294,1.216,2.120,2.650,2.351,2.995,2.850,3.686,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293189_001173.jpg,1.166,0.520,1.577,1.386,1.708,1.681,2.204,2.513,2.783,3.309,3.140,3.756,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293189_001174.jpg,0.250,-0.464,1.145,-0.688,2.046,-1.015,2.461,-1.080,3.839,-1.813,4.200,-2.004,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293189_001175.jpg,1.771,1.333,1.961,1.695,2.437,2.442,2.581,2.748,3.644,3.917,4.332,4.619,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293189_001176.jpg,0.741,-0.669,1.645,-0.989,2.060,-1.050,3.444,-1.772,3.807,-1.960,4.557,-2.432,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293190_001177.jpg,1.017,-0.801,1.277,-0.896,2.184,-1.208,2.497,-1.292,3.939,-2.104,4.286,-2.331,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293190_001178.jpg,0.892,-0.793,1.804,-1.092,2.683,-1.476,2.981,-1.598,3.828,-2.068,4.641,-2.623,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293190_001179.jpg,0.696,-0.761,1.611,-1.046,2.496,-1.418,2.796,-1.535,3.650,-1.993,4.470,-2.536,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293190_001180.jpg,1.838,1.082,2.049,1.440,2.509,2.157,3.001,2.782,3.321,3.198,4.383,4.356,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293190_001181.jpg,0.653,-0.800,1.072,-0.830,2.506,-1.446,2.882,-1.606,3.666,-2.020,3.983,-2.139,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293190_001182.jpg,1.519,0.484,1.967,1.350,2.490,2.147,2.645,2.453,3.256,3.223,3.885,3.893,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293190_001183.jpg,1.410,0.310,1.835,1.188,2.337,1.998,2.483,2.308,3.073,3.094,3.684,3.781,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293190_001184.jpg,0.806,-0.788,1.128,-0.824,2.674,-1.413,3.052,-1.586,3.813,-1.969,4.485,-2.393,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293190_001185.jpg,0.259,-0.651,1.189,-0.886,2.154,-1.175,3.066,-1.500,3.317,-1.652,4.157,-2.103,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293190_001186.jpg,1.569,-0.926,1.965,-1.028,2.802,-1.319,3.134,-1.388,4.516,-2.152,5.358,-2.660,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293191_001187.jpg,1.389,-0.818,1.788,-0.905,2.636,-1.164,2.969,-1.222,4.379,-1.934,5.240,-2.410,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293191_001188.jpg,0.434,-0.606,0.839,-0.633,1.700,-0.816,2.639,-1.082,3.524,-1.435,3.855,-1.525,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293191_001189.jpg,1.780,-0.757,2.182,-0.860,2.999,-1.102,3.737,-1.399,4.225,-1.591,5.633,-2.288,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293191_001190.jpg,1.580,-0.658,1.985,-0.748,2.810,-0.963,3.556,-1.238,4.051,-1.414,5.480,-2.066,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293191_001191.jpg,0.986,-0.526,1.946,-0.652,2.224,-0.747,3.140,-1.010,4.056,-1.319,4.094,-1.297,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293191_001192.jpg,0.843,-0.470,1.808,-0.616,2.730,-0.855,3.070,-0.904,3.995,-1.234,4.832,-1.614,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293191_001193.jpg,0.823,0.589,0.958,1.097,1.491,2.574,1.675,2.835,1.923,3.370,2.444,4.436,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293191_001194.jpg,0.773,0.700,1.109,1.598,1.296,2.182,1.834,3.308,2.029,3.802,2.526,4.880,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293191_001195.jpg,0.673,0.487,0.988,1.392,1.162,1.980,1.674,3.119,1.858,3.617,2.330,4.706,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293192_001196.jpg,0.734,0.843,1.035,1.712,1.381,2.586,1.547,3.132,1.905,3.916,2.173,4.689,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293192_001197.jpg,0.400,-0.285,1.249,-0.356,2.032,-0.498,2.549,-0.587,4.069,-0.984,4.345,-1.143,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293192_001198.jpg,0.660,0.763,0.793,1.361,1.227,2.532,1.377,3.042,1.774,4.159,1.886,4.614,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293192_001199.jpg,0.738,1.282,0.912,1.850,1.162,2.690,1.655,4.219,1.869,5.005,2.066,5.954,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293192_001200.jpg,0.626,1.071,0.788,1.642,1.018,2.488,1.477,4.028,1.673,4.818,1.848,5.772,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293192_001201.jpg,1.504,-0.240,2.478,-0.374,2.465,-0.355,3.371,-0.599,5.180,-1.020,5.087,-1.067,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293192_001202.jpg,0.460,0.859,0.841,2.678,0.890,2.586,1.234,4.130,1.223,4.144,1.434,5.653,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293192_001203.jpg,0.706,-0.115,1.231,-0.133,2.791,-0.321,3.085,-0.442,3.663,-0.564,4.819,-0.833,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293192_001204.jpg,0.809,-0.045,1.760,-0.171,2.371,-0.223,3.589,-0.496,4.114,-0.576,5.275,-0.819,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293192_001205.jpg,1.011,-0.027,1.040,0.006,2.291,-0.181,2.877,-0.279,3.743,-0.414,5.324,-0.699,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293193_001206.jpg,0.563,0.013,2.131,-0.080,2.433,-0.182,3.017,-0.269,4.187,-0.467,4.713,-0.526,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293193_001207.jpg,1.069,-0.015,1.682,-0.035,2.913,-0.242,3.442,-0.294,4.614,-0.475,5.082,-0.501,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293193_001208.jpg,0.124,0.594,0.279,1.441,0.350,2.256,0.494,3.770,0.436,4.533,0.185,6.174,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293193_001209.jpg,0.206,1.200,0.243,1.728,0.365,3.245,0.339,4.024,0.271,4.786,-0.047,6.406,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293193_001210.jpg,0.066,0.469,0.196,1.648,0.202,2.117,0.243,3.658,0.155,4.591,0.042,5.162,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293193_001211.jpg,0.125,1.681,0.161,2.495,0.143,3.464,0.083,4.011,-0.079,4.966,-0.270,5.729,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293193_001212.jpg,0.524,0.147,1.767,0.027,2.298,0.013,3.480,-0.085,3.948,-0.077,5.490,-0.076,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293193_001213.jpg,1.179,0.077,1.749,0.085,2.605,-0.017,3.423,-0.036,4.942,-0.085,5.700,0.020,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293193_001214.jpg,0.959,0.093,1.529,0.106,2.385,0.010,3.203,-0.004,4.723,-0.043,5.480,0.067,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293193_001215.jpg,0.597,0.134,1.473,0.105,3.077,0.015,3.892,0.008,4.860,0.058,5.404,0.137,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293194_001216.jpg,1.844,0.151,1.764,0.085,3.346,0.048,3.357,0.062,4.878,0.148,5.631,0.270,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293194_001217.jpg,0.505,0.142,1.690,0.086,2.219,0.090,3.741,0.085,4.516,0.171,5.270,0.298,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293194_001218.jpg,0.633,0.173,1.491,0.099,2.309,0.106,3.829,0.106,4.583,0.236,6.194,0.642,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293194_001219.jpg,1.257,0.093,1.786,0.098,3.308,0.095,4.083,0.183,4.837,0.311,6.427,0.756,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293194_001220.jpg,0.531,0.131,1.716,0.077,2.184,0.102,3.725,0.160,4.650,0.307,5.212,0.456,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293194_001221.jpg,0.826,0.095,1.644,0.101,3.164,0.098,3.918,0.226,5.529,0.629,6.283,0.859,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293194_001223.jpg,1.077,0.073,1.545,0.097,3.086,0.152,4.012,0.298,4.574,0.446,6.186,0.948,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293194_001224.jpg,1.610,0.056,1.621,0.070,3.143,0.152,3.897,0.272,4.824,0.512,5.559,0.775,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293195_001225.jpg,0.800,0.056,2.320,0.024,3.077,0.138,4.695,0.512,5.452,0.728,6.190,0.986,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293195_001227.jpg,1.576,-0.017,2.354,0.045,3.112,0.148,4.716,0.540,5.457,0.787,6.178,1.075,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293195_001228.jpg,0.461,0.008,2.003,0.005,2.933,0.116,3.501,0.243,5.130,0.684,5.812,0.949,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293195_001229.jpg,0.855,-0.036,1.824,-0.013,2.370,0.052,3.325,0.219,4.086,0.416,5.484,0.862,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293195_001230.jpg,1.567,-0.005,2.498,0.103,3.065,0.228,4.696,0.665,5.379,0.928,6.084,1.251,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293195_001231.jpg,0.104,-0.009,1.628,0.026,2.385,0.122,3.319,0.333,4.062,0.573,5.441,1.062,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293195_001232.jpg,1.420,0.026,2.177,0.122,3.111,0.332,3.855,0.572,5.233,1.060,6.482,1.725,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293195_001233.jpg,0.931,-0.008,1.477,0.056,2.431,0.225,3.192,0.423,4.590,0.870,5.295,1.192,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293196_001239.jpg,1.680,0.303,2.446,0.485,3.195,0.709,3.865,0.999,4.558,1.349,5.950,2.208,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293196_001240.jpg,0.943,0.148,1.709,0.325,3.119,0.733,3.833,1.036,4.487,1.363,5.105,1.775,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293196_001241.jpg,1.728,0.355,2.479,0.569,3.213,0.825,3.886,1.106,4.525,1.472,5.910,2.355,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293196_001244.jpg,1.778,0.400,2.477,0.615,3.202,0.889,4.649,1.639,5.282,2.024,5.885,2.498,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293197_001245.jpg,0.684,0.182,2.115,0.509,2.845,0.772,3.516,1.062,4.156,1.438,5.568,2.295,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293197_001246.jpg,0.950,0.264,2.370,0.618,3.676,1.159,4.555,1.624,5.141,2.021,5.756,2.476,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293197_001247.jpg,0.733,0.231,2.158,0.563,3.472,1.085,4.357,1.537,4.950,1.925,5.572,2.371,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780293197_001248.jpg,1.534,0.363,2.275,0.591,2.959,0.850,3.616,1.197,5.065,1.987,6.194,2.918,1
